format	model	backend	rep	ms	tensors	bytes
safetensors	qwen-qwen3-0.6b	sync	1	355.59	311	1503300328
safetensors	qwen-qwen3-0.6b	sync	2	402.93	311	1503300328
safetensors	qwen-qwen3-0.6b	sync	3	322.05	311	1503300328
safetensors	qwen-qwen3-0.6b	sync	4	323.31	311	1503300328
safetensors	qwen-qwen3-0.6b	sync	5	323.35	311	1503300328
safetensors	qwen-qwen3-0.6b	async	1	1730.94	311	1503300328
safetensors	qwen-qwen3-0.6b	async	2	1784.26	311	1503300328
safetensors	qwen-qwen3-0.6b	async	3	1734.94	311	1503300328
safetensors	qwen-qwen3-0.6b	async	4	1792.08	311	1503300328
safetensors	qwen-qwen3-0.6b	async	5	1571.93	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	1	1165.14	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	2	1263.93	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	3	1158.97	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	4	1156.94	311	1503300328
safetensors	qwen-qwen3-0.6b	io-uring	5	1155.63	311	1503300328
safetensors	qwen-qwen3-0.6b	default	1	321.48	311	1503300328
safetensors	qwen-qwen3-0.6b	default	2	371.09	311	1503300328
safetensors	qwen-qwen3-0.6b	default	3	495.10	311	1503300328
safetensors	qwen-qwen3-0.6b	default	4	324.86	311	1503300328
safetensors	qwen-qwen3-0.6b	default	5	321.04	311	1503300328
safetensors	qwen-qwen3-8b	sync	1	3647.97	399	16381516776
safetensors	qwen-qwen3-8b	sync	2	3700.68	399	16381516776
safetensors	qwen-qwen3-8b	sync	3	3711.90	399	16381516776
safetensors	qwen-qwen3-8b	sync	4	3731.11	399	16381516776
safetensors	qwen-qwen3-8b	sync	5	3682.12	399	16381516776
safetensors	qwen-qwen3-8b	async	1	6509.88	399	16381516776
safetensors	qwen-qwen3-8b	async	2	6692.63	399	16381516776
safetensors	qwen-qwen3-8b	async	3	6805.40	399	16381516776
safetensors	qwen-qwen3-8b	async	4	7161.11	399	16381516776
safetensors	qwen-qwen3-8b	async	5	6998.30	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	1	3274.00	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	2	3160.46	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	3	3267.11	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	4	3201.46	399	16381516776
safetensors	qwen-qwen3-8b	io-uring	5	3250.29	399	16381516776
safetensors	qwen-qwen3-8b	default	1	3686.09	399	16381516776
safetensors	qwen-qwen3-8b	default	2	3682.07	399	16381516776
safetensors	qwen-qwen3-8b	default	3	3701.44	399	16381516776
safetensors	qwen-qwen3-8b	default	4	3645.89	399	16381516776
safetensors	qwen-qwen3-8b	default	5	3672.86	399	16381516776
safetensors	qwen-qwen3-32b	sync	1	15430.31	707	65524328560
safetensors	qwen-qwen3-32b	sync	2	15841.33	707	65524328560
safetensors	qwen-qwen3-32b	sync	3	16143.61	707	65524328560
safetensors	qwen-qwen3-32b	sync	4	15326.77	707	65524328560
safetensors	qwen-qwen3-32b	sync	5	15462.39	707	65524328560
safetensors	qwen-qwen3-32b	async	1	26684.76	707	65524328560
safetensors	qwen-qwen3-32b	async	2	26697.80	707	65524328560
safetensors	qwen-qwen3-32b	async	3	27416.42	707	65524328560
safetensors	qwen-qwen3-32b	async	4	25867.67	707	65524328560
safetensors	qwen-qwen3-32b	async	5	26252.89	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	1	11949.08	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	2	12204.11	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	3	12722.31	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	4	11736.60	707	65524328560
safetensors	qwen-qwen3-32b	io-uring	5	14388.76	707	65524328560
safetensors	qwen-qwen3-32b	default	1	15933.56	707	65524328560
safetensors	qwen-qwen3-32b	default	2	15372.52	707	65524328560
safetensors	qwen-qwen3-32b	default	3	15496.92	707	65524328560
safetensors	qwen-qwen3-32b	default	4	15717.65	707	65524328560
safetensors	qwen-qwen3-32b	default	5	15378.45	707	65524328560
serverlessllm	qwen-qwen3-0.6b	sync	1	1523.51	311	1503264768
serverlessllm	qwen-qwen3-0.6b	sync	2	1456.48	311	1503264768
serverlessllm	qwen-qwen3-0.6b	sync	3	1411.97	311	1503264768
serverlessllm	qwen-qwen3-0.6b	sync	4	1409.44	311	1503264768
serverlessllm	qwen-qwen3-0.6b	sync	5	1484.23	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	1	1331.42	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	2	1362.06	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	3	1333.38	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	4	1408.79	311	1503264768
serverlessllm	qwen-qwen3-0.6b	async	5	1352.80	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	1	1416.81	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	2	1406.94	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	3	1395.06	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	4	1483.33	311	1503264768
serverlessllm	qwen-qwen3-0.6b	io-uring	5	1437.82	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	1	1358.37	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	2	1404.77	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	3	1354.35	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	4	1356.17	311	1503264768
serverlessllm	qwen-qwen3-0.6b	default	5	1336.94	311	1503264768
serverlessllm	qwen-qwen3-8b	sync	1	10525.28	399	16381470720
serverlessllm	qwen-qwen3-8b	sync	2	10655.76	399	16381470720
serverlessllm	qwen-qwen3-8b	sync	3	10273.35	399	16381470720
serverlessllm	qwen-qwen3-8b	sync	4	10676.26	399	16381470720
serverlessllm	qwen-qwen3-8b	sync	5	10175.26	399	16381470720
serverlessllm	qwen-qwen3-8b	async	1	9522.98	399	16381470720
serverlessllm	qwen-qwen3-8b	async	2	9172.35	399	16381470720
serverlessllm	qwen-qwen3-8b	async	3	7627.80	399	16381470720
serverlessllm	qwen-qwen3-8b	async	4	7930.82	399	16381470720
serverlessllm	qwen-qwen3-8b	async	5	9837.17	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	1	7216.29	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	2	7267.02	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	3	8884.83	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	4	7278.42	399	16381470720
serverlessllm	qwen-qwen3-8b	io-uring	5	7118.83	399	16381470720
serverlessllm	qwen-qwen3-8b	default	1	8127.48	399	16381470720
serverlessllm	qwen-qwen3-8b	default	2	8059.26	399	16381470720
serverlessllm	qwen-qwen3-8b	default	3	7630.46	399	16381470720
serverlessllm	qwen-qwen3-8b	default	4	9143.26	399	16381470720
serverlessllm	qwen-qwen3-8b	default	5	7586.28	399	16381470720
serverlessllm	qwen-qwen3-32b	sync	1	40691.38	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	2	39240.74	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	3	37785.33	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	4	38712.94	707	65524246528
serverlessllm	qwen-qwen3-32b	sync	5	39377.59	707	65524246528
serverlessllm	qwen-qwen3-32b	async	1	29010.56	707	65524246528
serverlessllm	qwen-qwen3-32b	async	2	28810.91	707	65524246528
serverlessllm	qwen-qwen3-32b	async	3	28639.44	707	65524246528
serverlessllm	qwen-qwen3-32b	async	4	29222.41	707	65524246528
serverlessllm	qwen-qwen3-32b	async	5	29199.08	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	1	27980.05	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	2	26663.65	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	3	27451.92	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	4	29152.43	707	65524246528
serverlessllm	qwen-qwen3-32b	io-uring	5	27910.41	707	65524246528
serverlessllm	qwen-qwen3-32b	default	1	29544.87	707	65524246528
serverlessllm	qwen-qwen3-32b	default	2	28386.59	707	65524246528
serverlessllm	qwen-qwen3-32b	default	3	28773.29	707	65524246528
serverlessllm	qwen-qwen3-32b	default	4	28781.99	707	65524246528
serverlessllm	qwen-qwen3-32b	default	5	29068.39	707	65524246528
